"rf_cum_3_day","temperature","ws","deg_from_north","dow","working_days","hour","pre_peak_hour","pm10"
0,18.3999996185,2.7999999523,130,5,1,21,0,1.3999999762
6,18.5,3.5,143,2,1,14,0,20.4
0.2,16.4,1.6,172,7,0,21,0,21.3
1,15.8000001907,0.6000000238,95,4,1,10,0,65.4000015259
6,12.6000003815,1.6000000238,5,2,1,21,0,8
2.6,4.6,3.1,84,7,0,4,0,8.4
0.4,17.6,1.6,102,6,0,11,0,16
0,16,4.3,14,3,1,10,0,53.1
6.2,22.7000007629,2.2999999523,176,7,0,15,1,20.8999996185
0,19.2000007629,0.8000000119,68,2,1,9,0,23
2.6,13,0.6999999881,123,3,1,10,0,33
1.2,14.3999996185,5.4000000954,99,1,1,15,1,10.8999996185
3,14.6000003815,2.2000000477,20,2,1,17,0,14.6000003815
0,17,2.0999999046,115,6,0,23,0,0.8000000119
0,18.2,3.9,31,7,0,8,1,15.5
0,18.6000003815,4.5,157,1,1,17,0,11
0,17.9,1.1,87,1,1,3,0,13.6
3.8,8.6999998093,0.8999999762,88,2,1,7,1,67.9000015259
0.2,9.8999996185,1.2999999523,34,6,0,3,0,7.8000001907
4,10.1000003815,1.3999999762,0,2,1,7,1,23.3999996185
1,14.1000003815,1.7999999523,112,7,0,6,1,11.8999996185
15.4,15,4.5999999046,170,1,1,18,0,14.6999998093
13.4,11.6,2.1,151,7,0,16,1,8.8
0,15.4,0.6,30,4,1,5,1,48.3
1.6,15.1999998093,0.6999999881,36,7,0,18,0,11.6999998093
0,18.7999992371,1.5,135,4,1,5,1,16.2000007629
2.6,8.3,3.9,5,7,0,5,1,11.3
2,11.6,6,7,4,1,10,0,46.3
5.4,15.8,0.8,140,3,1,23,0,11.6
0.6,8.8000001907,1.8999999762,35,2,1,5,1,19.7000007629
0,16.5,3.2999999523,167,3,1,9,0,9.8000001907
0,14,1.7999999523,8,4,1,22,0,8.1000003815
3.6,10.3999996185,0.8000000119,27,2,1,4,0,6.5999999046
2.4,9.3,1.9,1,7,0,6,1,4.8
2.8,9.2,4.4,38,4,1,8,1,26.2
0,17.7999992371,2.2000000477,133,2,1,2,0,3.2000000477
0.2,2,1.1,34,1,1,6,1,62.3
1.2,13.5,4.2,48,3,1,5,1,9.3
0,27.8,1.9,25,4,1,0,0,18.2
0.2,10.8000001907,1.8999999762,52,1,1,6,1,7.4000000954
15.6,15.5,0.3,40,6,0,5,1,12.2
0,24.6,1.7,179,2,1,13,0,15.9
0,15.7,0.9,42,3,1,3,0,31.7
17,15.7,4.1,132,6,0,13,0,7
0,21.2000007629,1.8999999762,172,5,1,11,0,35.7999992371
0.4,12.6,3.6,4,5,1,9,0,13.3
0,22.1000003815,4,165,5,1,12,0,16.7999992371
0.8,22.2000007629,3.5999999046,12,5,1,14,0,28.5
4.6,9.8000001907,0.8999999762,21,6,0,8,1,43.4000015259
0,16.7000007629,3,169,1,1,18,0,10.6999998093
0,17.5,0.6000000238,4,2,1,6,1,77.0999984741
0.4,18,0.8999999762,39,3,1,2,0,17.7000007629
2.4,12.5,4.5,6,1,1,16,1,7.3000001907
0,11.3000001907,3.2000000477,5,5,1,8,1,22.2000007629
0,19.9,3.2,25,2,1,8,1,19.7
0,20.6,2.1,169,5,1,11,0,27.9
0,26.2999992371,4.9000000954,5,5,1,16,1,75.1999969482
0,24.2,2.7,162,5,1,15,1,13.6
0.8,10.5,0.8,73,3,1,19,0,46.4
1.8,10.3999996185,2.2000000477,162,4,1,5,1,19.1000003815
0.6,16.7000007629,1.7999999523,40,5,1,6,1,34.4000015259
0,24.6,1.8,156,6,0,12,0,14.7
0,15,0.9,19,6,0,7,1,96.7
6.2,13.1000003815,0.8999999762,93,6,0,18,0,15.3000001907
2.8,13.3000001907,1,63,3,1,23,0,19
2.6,13.6999998093,1.1000000238,19,6,0,20,0,35
0,23,5,163,7,0,15,1,20.8999996185
0.4,17.2000007629,4.8000001907,171,2,1,14,0,23.3999996185
2.2,9.4,0.6,42,4,1,8,1,139.8
0.8,13.8,1.8,126,3,1,12,0,14.7
6.2,10.4,3,104,5,1,15,1,9.3
0,21.3,2.9,151,6,0,18,0,19.8
0.8,13.3,2,169,3,1,14,0,20.5
0,14.8999996185,2.2999999523,27,5,1,4,0,24.6000003815
13.8,14.1000003815,0.8999999762,114,2,1,17,0,14.1000003815
0.6,14,3.2000000477,112,3,1,5,1,9.8000001907
6,13.9,5.1,118,7,0,7,1,0.4
0.4,15.8999996185,1.6000000238,107,5,1,9,0,8.6999998093
7.4,12.2,2,17,7,0,9,0,15.4
10.6,11.5,3,70,3,1,9,0,13.5
0.2,15.8000001907,1,49,3,1,2,0,36.2000007629
10.2,5.1,1.6,90,1,1,6,1,12.4
0.4,20.2999992371,3.5,2,5,1,14,0,47.4000015259
2.6,12.5,3.3,180,2,1,22,0,27.7
0.2,9.5,0.6999999881,2,7,0,0,0,18.2000007629
5.4,17.8,2.7,150,3,1,9,0,9.4
1.8,14.5,4.0999999046,90,1,1,10,0,25.6000003815
11,17,2.7,152,3,1,12,0,11
0.4,19.1,2.1,171,6,0,22,0,15
2,10,1.1000000238,27,5,1,7,1,73.0999984741
